Geopolitical Entity,Category,Flag
Ivory Coast,Sovereign States,assets/flags/Flag_of_Ivory_Coast-512x341.png
Jamaica,Sovereign States,assets/flags/Flag_of_Jamaica-512x256.png
Japan,Sovereign States,assets/flags/Flag_of_Japan-512x341.png
Jordan,Sovereign States,assets/flags/Flag_of_Jordan-512x256.png
Kazakhstan,Sovereign States,assets/flags/Flag_of_Kazakhstan-512x256.png
Kenya,Sovereign States,assets/flags/Flag_of_Kenya-512x341.png
Kiribati,Sovereign States,assets/flags/Flag_of_Kiribati-512x256.png
Kosovo,Sovereign States,assets/flags/Flag_of_Kosovo-512x366.png
Kuwait,Sovereign States,assets/flags/Flag_of_Kuwait-512x256.png
Kyrgyzstan,Sovereign States,assets/flags/Flag_of_Kyrgyzstan-512x307.png
Laos,Sovereign States,assets/flags/Flag_of_Laos-512x341.png
Latvia,Sovereign States,assets/flags/Flag_of_Latvia-512x256.png
Lebanon,Sovereign States,assets/flags/Flag_of_Lebanon-512x341.png
Lesotho,Sovereign States,assets/flags/Flag_of_Lesotho-512x341.png
Liberia,Sovereign States,assets/flags/Flag_of_Liberia-512x269.png
Libya,Sovereign States,assets/flags/Flag_of_Libya-512x256.png
Liechtenstein,Sovereign States,assets/flags/Flag_of_Liechtenstein-512x307.png
Lithuania,Sovereign States,assets/flags/Flag_of_Lithuania-512x307.png
Luxembourg,Sovereign States,assets/flags/Flag_of_Luxembourg-512x307.png
Madagascar,Sovereign States,assets/flags/Flag_of_Madagascar-512x341.png
Malawi,Sovereign States,assets/flags/Flag_of_Malawi-512x341.png
Malaysia,Sovereign States,assets/flags/Flag_of_Malaysia-512x256.png
Maldives,Sovereign States,assets/flags/Flag_of_Maldives-512x341.png
Mali,Sovereign States,assets/flags/Flag_of_Mali-512x341.png
Malta,Sovereign States,assets/flags/Flag_of_Malta-512x341.png
Marshall Islands,Sovereign States,assets/flags/Flag_of_Marshall_Islands-512x269.png
Mauritania,Sovereign States,assets/flags/Flag_of_Mauritania-512x341.png
Mauritius,Sovereign States,assets/flags/Flag_of_Mauritius-512x341.png
Mexico,Sovereign States,assets/flags/Flag_of_Mexico-512x293.png
Micronesia,Sovereign States,assets/flags/Flag_of_Federated_States_of_Micronesia-512x269.png
Moldova,Sovereign States,assets/flags/Flag_of_Moldova-512x256.png
Monaco,Sovereign States,assets/flags/Flag_of_Monaco-512x410.png
Mongolia,Sovereign States,assets/flags/Flag_of_Mongolia-512x256.png
Montenegro,Sovereign States,assets/flags/Flag_of_Montenegro-512x256.png
Morocco,Sovereign States,assets/flags/Flag_of_Morocco-512x341.png
Mozambique,Sovereign States,assets/flags/Flag_of_Mozambique-512x341.png
Myanmar,Sovereign States,assets/flags/Flag_of_Myanmar-512x341.png
Namibia,Sovereign States,assets/flags/Flag_of_Namibia-512x341.png
Nauru,Sovereign States,assets/flags/Flag_of_Nauru-512x256.png
Nepal,Sovereign States,assets/flags/Flag_of_Nepal-512x624.png
Netherlands,Sovereign States,assets/flags/Flag_of_Netherlands-512x341.png
New Zealand,Sovereign States,assets/flags/Flag_of_New_Zealand-512x256.png
Nicaragua,Sovereign States,assets/flags/Flag_of_Nicaragua-512x307.png
Niger,Sovereign States,assets/flags/Flag_of_Niger-512x438.png
Nigeria,Sovereign States,assets/flags/Flag_of_Nigeria-512x256.png
Niue,Sovereign States,assets/flags/Flag_of_Niue-512x256.png
North Korea,Sovereign States,assets/flags/Flag_of_North_Korea-512x256.png
North Macedonia,Sovereign States,assets/flags/Flag_of_North_Macedonia-512x256.png
Northern Cyprus,Sovereign States,assets/flags/Flag_of_Northern_Cyprus-512x341.png
Norway,Sovereign States,assets/flags/Flag_of_Norway-512x371.png
Oman,Sovereign States,assets/flags/Flag_of_Oman-512x256.png
Pakistan,Sovereign States,assets/flags/Flag_of_Pakistan-512x341.png
Palau,Sovereign States,assets/flags/Flag_of_Palau-512x320.png
Palestine,Sovereign States,assets/flags/Flag_of_Palestine-512x256.png
Panama,Sovereign States,assets/flags/Flag_of_Panama-512x341.png
Papua New Guinea,Sovereign States,assets/flags/Flag_of_Papua_New_Guinea-512x385.png
Paraguay,Sovereign States,assets/flags/Flag_of_Paraguay-512x281.png
Peru,Sovereign States,assets/flags/Flag_of_Peru-512x341.png
Philippines,Sovereign States,assets/flags/Flag_of_Philippines-512x256.png
Poland,Sovereign States,assets/flags/Flag_of_Poland-512x320.png
Portugal,Sovereign States,assets/flags/Flag_of_Portugal-512x341.png
Qatar,Sovereign States,assets/flags/Flag_of_Qatar-512x201.png
Republic of the Congo,Sovereign States,assets/flags/Flag_of_Republic_of_Congo-512x341.png
Romania,Sovereign States,assets/flags/Flag_of_Romania-512x341.png
Russia,Sovereign States,assets/flags/Flag_of_Russia-512x341.png
Rwanda,Sovereign States,assets/flags/Flag_of_Rwanda-512x341.png
Sahrawi Arab Democratic Rebublic,Sovereign States,assets/flags/Flag_of_Sahrawi_Arab_Democratic_Republic-512x256.png
Saint Kitts and Nevis,Sovereign States,assets/flags/Flag_of_Saint_Kitts_and_Nevis-512x341.png
Saint Lucia,Sovereign States,assets/flags/Flag_of_Saint_Lucia-512x256.png
Saint Vincent and the Grenadines,Sovereign States,assets/flags/Flag_of_Saint_Vincent_and_the_Grenadines-512x341.png
Samoa,Sovereign States,assets/flags/Flag_of_Samoa-512x256.png
San Marino,Sovereign States,assets/flags/Flag_of_San_Marino-512x385.png
Sao Tome and Principe,Sovereign States,assets/flags/Flag_of_Sao_Tome_and_Principe-512x256.png
Saudi Arabia,Sovereign States,assets/flags/Flag_of_Saudi_Arabia-512x341.png
Scotland,Other Territories,assets/flags/Flag_of_Scotland-512x307.png
Senegal,Sovereign States,assets/flags/Flag_of_Senegal-512x341.png
Serbia,Sovereign States,assets/flags/Flag_of_Serbia-512x341.png
Seychelles,Sovereign States,assets/flags/Flag_of_Seychelles-512x256.png
Sierra Leone,Sovereign States,assets/flags/Flag_of_Sierra_Leone-512x341.png
Singapore,Sovereign States,assets/flags/Flag_of_Singapore-512x341.png
Slovakia,Sovereign States,assets/flags/Flag_of_Slovakia-512x341.png
